id,sourceType,sourceUrl,author,date,rawText,normalizedText,productName,language,region
play-3dea25be-cb6e-42a9-9b17-ef25dc9a342f,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=3dea25be-cb6e-42a9-9b17-ef25dc9a342f,user_aabf14,2026-06-22T04:10:41.473Z,"I'll be blunt. the new music widget absolutely sucks. the old one worked great. but this ""new and improved"" one... won't even open 80% of the time and when it does it opens to the complete wrong song or playlist that you were playing. it's quite disappointing. I used to use the widget daily. now I almost never use it. in fact it has decreased my Spotify usage.... better luck next time spotify","I'll be blunt. the new music widget absolutely sucks. the old one worked great. but this ""new and improved"" one... won't even open 80% of the time and when it does it opens to the complete wrong song or playlist that you were playing. it's quite disappointing. I used to use the widget daily. now I almost never use it. in fact it has decreased my Spotify usage.... better luck next time spotify",Spotify Android,en,US
play-80ef787f-e708-4e08-86f8-7477d8797a61,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=80ef787f-e708-4e08-86f8-7477d8797a61,user_5b4db8,2026-06-22T03:59:46.428Z,did anyone ask for the playlist UI change or did whoever is in charge of that do too much coke?,did anyone ask for the playlist UI change or did whoever is in charge of that do too much coke?,Spotify Android,en,US
play-cba9ba02-90d5-4dfb-8c88-ae971dd872ef,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=cba9ba02-90d5-4dfb-8c88-ae971dd872ef,user_9c7a76,2026-06-22T02:36:13.517Z,STAWP WITH DA ADS PLEASE OMG. we know you want us to buy premium but you don't have to throw ads at us every single second :< . Have mercyy and stop shuffling the playlist play it in the order we add it bruh that would help a lot.,STAWP WITH DA ADS PLEASE OMG. we know you want us to buy premium but you don't have to throw ads at us every single second :< . Have mercyy and stop shuffling the playlist play it in the order we add it bruh that would help a lot.,Spotify Android,en,US
play-dc0c6a0e-3145-414d-8d1e-5aaa94d5c0f2,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=dc0c6a0e-3145-414d-8d1e-5aaa94d5c0f2,user_d6fb2e,2026-06-22T00:44:27.993Z,I hate the jump back in stuff it sucked because I had mis-clicked a playlist that I absolutely despise and now it won't leave the jump back in section of my Spotify,I hate the jump back in stuff it sucked because I had mis-clicked a playlist that I absolutely despise and now it won't leave the jump back in section of my Spotify,Spotify Android,en,US
play-9512a3b9-92dc-4552-871f-fbc46d9bb075,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=9512a3b9-92dc-4552-871f-fbc46d9bb075,user_77ae9c,2026-06-21T21:23:24.500Z,"great with a sub. worth it if you listen to music erday. but if your a free user they got ads and usually you cannot change a playlist settings for playing songs in order, or if at random in a playlist. but its good app.","great with a sub. worth it if you listen to music erday. but if your a free user they got ads and usually you cannot change a playlist settings for playing songs in order, or if at random in a playlist. but its good app.",Spotify Android,en,US
play-7e63b4ed-bf4e-4511-9197-d147aab9bb74,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=7e63b4ed-bf4e-4511-9197-d147aab9bb74,user_e9359f,2026-06-21T21:07:43.834Z,It great but crashing aways when I open my playlist,It great but crashing aways when I open my playlist,Spotify Android,en,US
play-9d69776d-f3f3-4aff-84d7-ab001d22aa2f,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=9d69776d-f3f3-4aff-84d7-ab001d22aa2f,user_f4cd27,2026-06-21T21:00:03.773Z,"absolutely terrible. the free version is just so bad you cant event listen to your own songs anymore. whenever i listen to my playlist it never goes in order and this stupid ""Listen to any song u want with premium"" is so stupid. its a music app. let me listen to what i want, when i want and what i wanna skip when i want to. Stop. being. greedy.","absolutely terrible. the free version is just so bad you cant event listen to your own songs anymore. whenever i listen to my playlist it never goes in order and this stupid ""Listen to any song u want with premium"" is so stupid. its a music app. let me listen to what i want, when i want and what i wanna skip when i want to. Stop. being. greedy.",Spotify Android,en,US
play-41500f7f-a29d-416e-9c7d-fbf81052c441,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=41500f7f-a29d-416e-9c7d-fbf81052c441,user_04ca70,2026-06-21T20:50:31.596Z,ITS ADDING RANDOM SONGS I DONT EVEN LIKE TO MY PLAYLIST. THE SONGS I ADDED MYSELF ARE 5 SECONDS. SO OVERRATED.,ITS ADDING RANDOM SONGS I DONT EVEN LIKE TO MY PLAYLIST. THE SONGS I ADDED MYSELF ARE 5 SECONDS. SO OVERRATED.,Spotify Android,en,US
play-1fad8280-d0df-4cc2-83ff-72c2bbe90fa1,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=1fad8280-d0df-4cc2-83ff-72c2bbe90fa1,user_76ed20,2026-06-21T20:11:53.678Z,i need to listen to my micheal jackson playlist saved,i need to listen to my micheal jackson playlist saved,Spotify Android,en,US
play-b1fb69fd-4a76-46a7-8e57-4cf0371bf28c,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=b1fb69fd-4a76-46a7-8e57-4cf0371bf28c,user_4bc7a8,2026-06-21T20:08:51.901Z,"playlist keeps taking itself off of shuffle, gwatafak","playlist keeps taking itself off of shuffle, gwatafak",Spotify Android,en,US
play-ddff231f-836c-4c0c-a7d8-85c461c0aa0e,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=ddff231f-836c-4c0c-a7d8-85c461c0aa0e,user_1f599d,2026-06-21T19:59:36.560Z,Spotify keeps crashing every time I open playlists.,Spotify keeps crashing every time I open playlists.,Spotify Android,en,US
play-8220e5fc-a68b-45a3-b0f6-dc24ac137569,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=8220e5fc-a68b-45a3-b0f6-dc24ac137569,user_a88755,2026-06-21T19:27:38.854Z,"can have 3,000 songs in a Playlist and it plays the same 100 songs they need to work on their rotation of songs that are played its a joke","can have 3,000 songs in a Playlist and it plays the same 100 songs they need to work on their rotation of songs that are played its a joke",Spotify Android,en,US
play-07590594-1fd6-49ac-9ab3-a6d7c8530519,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=07590594-1fd6-49ac-9ab3-a6d7c8530519,user_7b9fde,2026-06-21T19:21:38.537Z,"The best music and podcast app. The personalized playlists are so for me, and Spotify Connect makes switching between devices effortless. Highly recommended!","The best music and podcast app. The personalized playlists are so for me, and Spotify Connect makes switching between devices effortless. Highly recommended!",Spotify Android,en,US
play-1bfe2792-a6c7-4e79-b652-e6e6b0ad49c5,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=1bfe2792-a6c7-4e79-b652-e6e6b0ad49c5,user_529505,2026-06-21T18:44:29.635Z,"Insanely slow, over the last few years it's gotten so bad, songs don't even fade into eachother anymore half the time and it takes like 15 seconds sometimes to perform one action like adding something to a playlist, this is across multiple phones aswell.","Insanely slow, over the last few years it's gotten so bad, songs don't even fade into eachother anymore half the time and it takes like 15 seconds sometimes to perform one action like adding something to a playlist, this is across multiple phones aswell.",Spotify Android,en,US
play-b2456892-fd02-41c1-91bf-7dba86ba3a21,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=b2456892-fd02-41c1-91bf-7dba86ba3a21,user_39b36e,2026-06-21T18:30:44.458Z,"Haha they finally fixed their lyrics. Still it sometimes crashes, usually when it tries to automatically switch to another device or my desktop. And they also finally give us the ability to reshuffle the song queue without having to toggle the shuffle.","Haha they finally fixed their lyrics. Still it sometimes crashes, usually when it tries to automatically switch to another device or my desktop. And they also finally give us the ability to reshuffle the song queue without having to toggle the shuffle.",Spotify Android,en,US
play-7cf9b758-cd1f-4c12-8507-3ca7034d7d0e,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=7cf9b758-cd1f-4c12-8507-3ca7034d7d0e,user_9c49d4,2026-06-21T16:52:11.576Z,when I listen this deep Sleep playlist I feel like I am was a magic because this is not a idea to sleep this is oh my god I rate this 5/5,when I listen this deep Sleep playlist I feel like I am was a magic because this is not a idea to sleep this is oh my god I rate this 5/5,Spotify Android,en,US
play-684f26ae-6e7a-4179-8521-905c24a02704,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=684f26ae-6e7a-4179-8521-905c24a02704,user_70c76d,2026-06-21T16:36:21.912Z,"love it you can listen to your favorite youtubers but, it's a podcast. and also has all sorts of music that you can listen to and add it to your Playlist there is also no ads","love it you can listen to your favorite youtubers but, it's a podcast. and also has all sorts of music that you can listen to and add it to your Playlist there is also no ads",Spotify Android,en,US
play-b37bc220-721c-4492-a3df-e84ca7b6ecbb,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=b37bc220-721c-4492-a3df-e84ca7b6ecbb,user_330c67,2026-06-21T16:30:25.937Z,"as I'm on a tablet, it won't let me play music of my own choice from a playlist or album. On the phone it's completely fine tho. pls fix the tablet issue 🙏","as I'm on a tablet, it won't let me play music of my own choice from a playlist or album. On the phone it's completely fine tho. pls fix the tablet issue 🙏",Spotify Android,en,US
play-fe578ad7-d01f-4bd5-a1d1-2d62f351f720,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=fe578ad7-d01f-4bd5-a1d1-2d62f351f720,user_42dfb4,2026-06-21T16:20:56.530Z,"they keep putting very obvious, low quality AI slop into my discovery weekly playlist. no way to turn it off.","they keep putting very obvious, low quality AI slop into my discovery weekly playlist. no way to turn it off.",Spotify Android,en,US
play-86f40dc4-874a-450f-8229-20f466a3078a,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=86f40dc4-874a-450f-8229-20f466a3078a,user_30e196,2026-06-21T15:50:17.109Z,I have been using this app for a couple of years now and rarely have I had any trouble with it. I can find most of my songs here and it gives good recommendations.,I have been using this app for a couple of years now and rarely have I had any trouble with it. I can find most of my songs here and it gives good recommendations.,Spotify Android,en,US
play-70672313-7232-4258-80c6-1f302401bb4c,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=70672313-7232-4258-80c6-1f302401bb4c,user_41d6a8,2026-06-21T15:39:01.180Z,"I absolutely hate the new widget! It's loading all the time, instead of showing a recently played song, it gets back to some playlist I was listening to previously, but not the latest one. I preferred the smaller widget witch is not avaliable anymore :/ amd I know I can shrink it, but that's not the point. This one just doesn't work right","I absolutely hate the new widget! It's loading all the time, instead of showing a recently played song, it gets back to some playlist I was listening to previously, but not the latest one. I preferred the smaller widget witch is not avaliable anymore :/ amd I know I can shrink it, but that's not the point. This one just doesn't work right",Spotify Android,en,US
play-25f7b77e-f4d2-4e84-98cd-413873b70e8c,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=25f7b77e-f4d2-4e84-98cd-413873b70e8c,user_661028,2026-06-21T15:19:41.320Z,its only flaw is it's filled with promotion and recommendations a lot of times music which is paid to be shown. if they remove that it will be great. switching to apple music cus its true to its nature a music player not a marketing platform.,its only flaw is it's filled with promotion and recommendations a lot of times music which is paid to be shown. if they remove that it will be great. switching to apple music cus its true to its nature a music player not a marketing platform.,Spotify Android,en,US
play-082ce16f-ff13-4187-8f87-6411ff820fc5,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=082ce16f-ff13-4187-8f87-6411ff820fc5,user_eff6b4,2026-06-21T13:51:07.934Z,"spotify is good but what happend to my songs? i cant see them even if i reinstall it, if its a glitch please fix it, theres no point in using the app if i cant even play my playlists/songs, spotify isnt even spotify anymore.","spotify is good but what happend to my songs? i cant see them even if i reinstall it, if its a glitch please fix it, theres no point in using the app if i cant even play my playlists/songs, spotify isnt even spotify anymore.",Spotify Android,en,US
play-3235bdfb-c84f-4926-ae41-fbf237c05f1f,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=3235bdfb-c84f-4926-ae41-fbf237c05f1f,user_72a7ab,2026-06-21T13:35:37.321Z,After the June 16th update the app crashes when selecting a playlist from my library,After the June 16th update the app crashes when selecting a playlist from my library,Spotify Android,en,US
play-3f1ca090-31b6-4b14-a93b-7d988f7b0117,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=3f1ca090-31b6-4b14-a93b-7d988f7b0117,user_dfc10c,2026-06-21T13:18:10.807Z,"1. You need premium for almost every good feature. 2. The ads are annoying. I get like 3 ads every 4 songs, which is too much. 3. I can't queue much songs because there is a limit for how many songs you can queue every day or something. 4. Smart shuffle being default is annoying. I can't listen to a specific playlist/album without it changing to a different artist. 5. Add a your top songs every month when its time for the yearly wrap. - ♠️","1. You need premium for almost every good feature. 2. The ads are annoying. I get like 3 ads every 4 songs, which is too much. 3. I can't queue much songs because there is a limit for how many songs you can queue every day or something. 4. Smart shuffle being default is annoying. I can't listen to a specific playlist/album without it changing to a different artist. 5. Add a your top songs every month when its time for the yearly wrap. - ♠️",Spotify Android,en,US
play-3ff8609c-44e9-4a30-9538-6ce193dea539,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=3ff8609c-44e9-4a30-9538-6ce193dea539,user_2b75f0,2026-06-21T12:38:30.580Z,"Advanced algorithms track listening habits to create custom daily mixes, Release Radar, and Discover Weekly playlists.Features like Spotify Jam let multiple users build a shared, real-time queue, while Blend merges the tastes of friends into a unified playlist.","Advanced algorithms track listening habits to create custom daily mixes, Release Radar, and Discover Weekly playlists.Features like Spotify Jam let multiple users build a shared, real-time queue, while Blend merges the tastes of friends into a unified playlist.",Spotify Android,en,US
play-ccb0d7da-82c0-41a3-b2e4-624c8c7ebf0b,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=ccb0d7da-82c0-41a3-b2e4-624c8c7ebf0b,user_0afcfa,2026-06-21T12:28:37.944Z,"It's a really great app, but the way it shuffles its songs sometimes is really really horrible and please equally work on adding more songs, I can't find some songs on the app but i can find them on other streaming platforms","It's a really great app, but the way it shuffles its songs sometimes is really really horrible and please equally work on adding more songs, I can't find some songs on the app but i can find them on other streaming platforms",Spotify Android,en,US
play-7fe87e10-6455-4148-a911-2a77bcfa1e68,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=7fe87e10-6455-4148-a911-2a77bcfa1e68,user_5a6de2,2026-06-21T11:51:04.120Z,"Over 1,500 songs in my list... on shuffle, it plays the same rotation EVERY. SINGLE. TIME. Shuffle is abysmal at best. Yes, I've done ""sort"" different. If I want to hear ALL the songs, I can't have it on shuffle. This isn't a radio station. I don't do just one genre!","Over 1,500 songs in my list... on shuffle, it plays the same rotation EVERY. SINGLE. TIME. Shuffle is abysmal at best. Yes, I've done ""sort"" different. If I want to hear ALL the songs, I can't have it on shuffle. This isn't a radio station. I don't do just one genre!",Spotify Android,en,US
play-aaac9c05-ed17-489c-b090-a04e75fd001b,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=aaac9c05-ed17-489c-b090-a04e75fd001b,user_1b3ca1,2026-06-21T10:10:18.982Z,"Was very good until recently i searched up one of my liked songs, and i played it, usually i just shuffle or smart shuffle to get more than just the one song i searched up in my queue, but its either bugged or made that it only lets you play that one song you searched for, very frustrating.","Was very good until recently i searched up one of my liked songs, and i played it, usually i just shuffle or smart shuffle to get more than just the one song i searched up in my queue, but its either bugged or made that it only lets you play that one song you searched for, very frustrating.",Spotify Android,en,US
play-f1128ce2-5724-4532-837e-ee1b41c85ec0,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=f1128ce2-5724-4532-837e-ee1b41c85ec0,user_058b69,2026-06-21T09:34:27.118Z,"I love this app Spotify provides an extensive personalized streaming library of music, podcasts and audiobooks across multiple devices The platform makes discovering new sounds easy through expert playlists and an AI driven DJ while offering Premium features like free listening.","I love this app Spotify provides an extensive personalized streaming library of music, podcasts and audiobooks across multiple devices The platform makes discovering new sounds easy through expert playlists and an AI driven DJ while offering Premium features like free listening.",Spotify Android,en,US
play-826361f9-5d4c-4900-a37f-c8df3e09568e,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=826361f9-5d4c-4900-a37f-c8df3e09568e,user_caa7ea,2026-06-21T09:12:25.102Z,I gave two star because in middle of playlist a long time advertisement are comes which is very irritating. It is shows as the 30 minutes uninterrupted music but it can't done after sometime the advertisement comes twice 🫩,I gave two star because in middle of playlist a long time advertisement are comes which is very irritating. It is shows as the 30 minutes uninterrupted music but it can't done after sometime the advertisement comes twice 🫩,Spotify Android,en,US
